time,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10
261.0000000000007,3.3881,4.7893,5.1511,3.5092,5.8161,5.2077,3.8261,4.0942,5.3714,3.1395
262.8000000000007,3.6081,2.5351,2.903,3.7333,6.1408,5.6401,4.1215,4.3898,5.7415,3.3913
264.6000000000007,3.8424,2.7057,3.1229,3.9717,6.4836,3.1166,4.4397,4.7068,6.137,3.6634
266.4000000000007,4.0919,2.8877,3.3595,4.2254,3.1519,3.2902,2.4138,5.0466,6.5598,3.9573
268.2000000000007,4.3576,3.082,3.614,4.4952,3.3533,3.4735,2.5777,5.411,7.0117,4.2747
270.00000000000074,4.6405,3.2893,3.8878,4.7823,3.5676,3.667,2.7528,5.8018,7.4947,4.6176
271.80000000000075,4.9418,3.5106,4.1823,5.0877,3.7956,3.8712,2.9397,3.162,4.1431,4.988
273.60000000000076,5.2627,3.7467,4.4991,5.4126,4.0382,4.0869,3.1394,3.3746,4.4725,2.6953
275.4000000000008,2.647,3.9988,4.84,5.7583,4.2962,4.3145,3.3526,3.6014,4.8281,2.8604
277.2000000000008,2.8238,4.2678,5.2066,6.126,4.5708,4.5549,3.5802,3.8436,5.2119,3.0356
279.0000000000008,3.0124,4.5549,5.601,6.5172,4.8628,4.8086,3.8234,4.102,5.6263,3.2216
280.8000000000008,3.2136,4.8613,6.0253,6.9334,5.1736,5.0764,2.0942,4.3778,3.0715,3.4189
282.6000000000008,3.4283,5.1884,3.2572,7.3762,5.5042,2.7512,2.2306,4.6721,3.327,3.6283
284.40000000000083,3.6573,5.5374,3.4732,3.9744,2.874,2.9428,2.376,4.9862,3.6038,3.8505
286.20000000000084,3.9016,2.9818,3.7035,4.3115,3.0569,3.1479,2.5309,5.3215,3.9036,4.0864
288.00000000000085,4.1622,3.2025,3.9491,4.6772,3.2515,3.3672,2.6958,2.991,4.2284,4.3366
289.80000000000086,4.4402,3.4395,4.211,5.0739,3.4584,3.6018,2.8715,3.2065,4.5801,4.6023
291.6000000000009,4.7368,3.6941,4.4903,2.6212,3.6785,3.8528,3.0586,3.4376,4.9611,4.8841
293.4000000000009,5.0532,3.9675,4.788,2.7942,3.9126,4.1212,3.258,3.6852,5.3739,5.1833
295.2000000000009,5.3907,4.2611,5.1055,2.9786,4.1617,4.4083,3.4703,3.9508,5.8209,5.5008
297.0000000000009,5.7508,4.5765,5.4441,3.1751,4.4265,4.7155,3.6965,4.2354,6.3052,5.8377
298.8000000000009,6.1349,4.9152,5.8051,3.3846,4.7083,5.044,3.9374,4.5406,3.3124,6.1952
300.60000000000093,3.097,2.5336,6.1901,3.6079,5.0079,2.5316,4.194,4.8677,3.5548,6.5747
302.40000000000094,3.3276,2.7182,6.6006,3.846,5.3266,2.7029,2.1962,5.2184,3.815,6.9774
304.20000000000095,3.5753,2.9163,3.5576,4.0998,5.6656,2.8858,2.3496,5.5944,4.0941,3.6274
306.00000000000097,3.8415,3.1287,3.8104,4.3703,6.0262,3.0811,2.5136,5.9975,4.3937,3.8658
307.800000000001,4.1275,3.3567,4.0812,4.6587,3.1558,3.2896,2.6892,6.4296,4.7153,4.1199
309.600000000001,4.4349,3.6013,4.3713,4.9661,3.4045,3.5122,2.8769,3.3687,2.5423,4.3907
311.400000000001,4.7651,3.8637,4.682,5.2937,3.6729,3.7499,3.0778,3.672,2.724,4.6794
313.200000000001,5.1198,4.1452,5.0148,5.643,3.9624,4.0036,3.2927,4.0026,2.9186,4.987
